year,reg_sk,sex_sk,age,dr
1989,1100,1,0,0.02025
1989,1100,1,1,0.001192
1989,1100,1,5,6.96e-4
1989,1100,1,10,6.1e-4
1989,1100,1,15,0.001541
1989,1100,1,20,0.002605
1989,1100,1,25,0.003291
1989,1100,1,30,0.004038
1989,1100,1,35,0.005242
1989,1100,1,40,0.007113
1989,1100,1,45,0.010972
1989,1100,1,50,0.015264
1989,1100,1,55,0.022681
1989,1100,1,60,0.032497
1989,1100,1,65,0.045227
1989,1100,1,70,0.067663
1989,1100,1,75,0.097915
1989,1100,1,80,0.144458
1989,1100,1,85,0.224841
1989,1100,2,0,0.014752
1989,1100,2,1,9.04e-4
1989,1100,2,5,3.93e-4
1989,1100,2,10,3.2e-4
1989,1100,2,15,6.43e-4
1989,1100,2,20,7.04e-4
1989,1100,2,25,7.87e-4
1989,1100,2,30,0.00102
1989,1100,2,35,0.001509
1989,1100,2,40,0.002258
1989,1100,2,45,0.00359
1989,1100,2,50,0.005228
1989,1100,2,55,0.008446
1989,1100,2,60,0.013164
1989,1100,2,65,0.021641
1989,1100,2,70,0.0368
1989,1100,2,75,0.061175
1989,1100,2,80,0.102772
1989,1100,2,85,0.192404
1989,1100,3,0,0.01756
1989,1100,3,1,0.001051
1989,1100,3,5,5.47e-4
1989,1100,3,10,4.67e-4
1989,1100,3,15,0.001102
1989,1100,3,20,0.001672
1989,1100,3,25,0.002057
1989,1100,3,30,0.002539
1989,1100,3,35,0.003369
1989,1100,3,40,0.004647
1989,1100,3,45,0.00709
1989,1100,3,50,0.00988
1989,1100,3,55,0.01475
1989,1100,3,60,0.020788
1989,1100,3,65,0.028806
1989,1100,3,70,0.045398
1989,1100,3,75,0.070207
1989,1100,3,80,0.111403
1989,1100,3,85,0.197729
1989,1101,1,0,0.019299
1989,1101,1,1,0.001474
1989,1101,1,5,9.43e-4
1989,1101,1,10,6.54e-4
1989,1101,1,15,0.001832
1989,1101,1,20,0.002933
1989,1101,1,25,0.004053
1989,1101,1,30,0.00408
1989,1101,1,35,0.005778
1989,1101,1,40,0.008065
1989,1101,1,45,0.012133
1989,1101,1,50,0.01571
1989,1101,1,55,0.022614
1989,1101,1,60,0.033077
1989,1101,1,65,0.044923
1989,1101,1,70,0.068296
1989,1101,1,75,0.100172
1989,1101,1,80,0.147842
1989,1101,1,85,0.222254
1989,1101,2,0,0.015234
1989,1101,2,1,0.00114
1989,1101,2,5,4.18e-4
1989,1101,2,10,2.78e-4
1989,1101,2,15,7.55e-4
1989,1101,2,20,6.67e-4
1989,1101,2,25,8.59e-4
1989,1101,2,30,0.001077
1989,1101,2,35,0.00178
1989,1101,2,40,0.002719
1989,1101,2,45,0.003843
1989,1101,2,50,0.005786
1989,1101,2,55,0.008865
1989,1101,2,60,0.013758
1989,1101,2,65,0.021214
1989,1101,2,70,0.037099
1989,1101,2,75,0.060901
1989,1101,2,80,0.102602
1989,1101,2,85,0.192329
1989,1101,3,0,0.017307
1989,1101,3,1,0.00131
1989,1101,3,5,6.85e-4
1989,1101,3,10,4.69e-4
1989,1101,3,15,0.001302
1989,1101,3,20,0.001822
1989,1101,3,25,0.002477
1989,1101,3,30,0.002595
1989,1101,3,35,0.003791
1989,1101,3,40,0.005368
1989,1101,3,45,0.007768
1989,1101,3,50,0.010505
1989,1101,3,55,0.015225
1989,1101,3,60,0.021332
1989,1101,3,65,0.02847
1989,1101,3,70,0.04598
1989,1101,3,75,0.070583
1989,1101,3,80,0.112225
1989,1101,3,85,0.196792
1989,1103,1,0,0.021203
1989,1103,1,1,0.001265
1989,1103,1,5,6.66e-4
1989,1103,1,10,6.64e-4
1989,1103,1,15,0.001526
1989,1103,1,20,0.003267
1989,1103,1,25,0.003972
1989,1103,1,30,0.004486
1989,1103,1,35,0.005332
1989,1103,1,40,0.007193
1989,1103,1,45,0.011301
1989,1103,1,50,0.015083
1989,1103,1,55,0.021628
1989,1103,1,60,0.031244
1989,1103,1,65,0.042035
1989,1103,1,70,0.065316
1989,1103,1,75,0.094128
1989,1103,1,80,0.142201
1989,1103,1,85,0.22029
1989,1103,2,0,0.013542
1989,1103,2,1,8.09e-4
1989,1103,2,5,3.79e-4
1989,1103,2,10,3.1e-4
1989,1103,2,15,7.18e-4
1989,1103,2,20,8.37e-4
1989,1103,2,25,9.43e-4
1989,1103,2,30,0.001137
1989,1103,2,35,0.001501
1989,1103,2,40,0.002117
1989,1103,2,45,0.003624
1989,1103,2,50,0.00521
1989,1103,2,55,0.008099
1989,1103,2,60,0.012727
1989,1103,2,65,0.021511
1989,1103,2,70,0.037667
1989,1103,2,75,0.060857
1989,1103,2,80,0.102656
1989,1103,2,85,0.201098
1989,1103,3,0,0.017473
1989,1103,3,1,0.001041
1989,1103,3,5,5.25e-4
1989,1103,3,10,4.9e-4
1989,1103,3,15,0.001137
1989,1103,3,20,0.002065
1989,1103,3,25,0.002451
1989,1103,3,30,0.002795
1989,1103,3,35,0.003386
1989,1103,3,40,0.004577
1989,1103,3,45,0.0071590000000000004
1989,1103,3,50,0.009782
1989,1103,3,55,0.014243
1989,1103,3,60,0.020207
1989,1103,3,65,0.028387
1989,1103,3,70,0.046182
1989,1103,3,75,0.0701
1989,1103,3,80,0.112253
1989,1103,3,85,0.204967
1989,1104,1,0,0.023457
1989,1104,1,1,0.001243
1989,1104,1,5,7.48e-4
1989,1104,1,10,7.2e-4
1989,1104,1,15,0.001621
1989,1104,1,20,0.002933
1989,1104,1,25,0.004145
1989,1104,1,30,0.004841
1989,1104,1,35,0.006194
1989,1104,1,40,0.007699
1989,1104,1,45,0.012548
1989,1104,1,50,0.015519
1989,1104,1,55,0.023277
1989,1104,1,60,0.033073
1989,1104,1,65,0.046578
1989,1104,1,70,0.067952
1989,1104,1,75,0.095895
1989,1104,1,80,0.151575
1989,1104,1,85,0.242539
1989,1104,2,0,0.016677
1989,1104,2,1,9.89e-4
1989,1104,2,5,3.28e-4
1989,1104,2,10,3.76e-4
1989,1104,2,15,5.38e-4
1989,1104,2,20,7.85e-4
1989,1104,2,25,9.55e-4
1989,1104,2,30,0.001206
1989,1104,2,35,0.001831
1989,1104,2,40,0.002713
1989,1104,2,45,0.004602
1989,1104,2,50,0.005625
1989,1104,2,55,0.00928
1989,1104,2,60,0.014388
1989,1104,2,65,0.023648
1989,1104,2,70,0.037718
1989,1104,2,75,0.059713
1989,1104,2,80,0.101829
1989,1104,2,85,0.176583
1989,1104,3,0,0.020137
1989,1104,3,1,0.001119
1989,1104,3,5,5.41e-4
1989,1104,3,10,5.5e-4
1989,1104,3,15,0.0011
1989,1104,3,20,0.001902
1989,1104,3,25,0.002603
1989,1104,3,30,0.003072
1989,1104,3,35,0.004053
1989,1104,3,40,0.005207
1989,1104,3,45,0.008525
1989,1104,3,50,0.010387
1989,1104,3,55,0.015711
1989,1104,3,60,0.021822
1989,1104,3,65,0.031007
1989,1104,3,70,0.046471
1989,1104,3,75,0.069091
1989,1104,3,80,0.112535
1989,1104,3,85,0.187288
1989,1105,1,0,0.019242
1989,1105,1,1,0.001279
1989,1105,1,5,8.85e-4
1989,1105,1,10,5.86e-4
1989,1105,1,15,0.002353
1989,1105,1,20,0.002991
1989,1105,1,25,0.003553
1989,1105,1,30,0.004425
1989,1105,1,35,0.005404
1989,1105,1,40,0.00802
1989,1105,1,45,0.012562
1989,1105,1,50,0.015533
1989,1105,1,55,0.024558
1989,1105,1,60,0.035802
1989,1105,1,65,0.048828
1989,1105,1,70,0.070796
1989,1105,1,75,0.106793
1989,1105,1,80,0.158747
1989,1105,1,85,0.209303
1989,1105,2,0,0.012983
1989,1105,2,1,8.6e-4
1989,1105,2,5,3.21e-4
1989,1105,2,10,2.2e-4
1989,1105,2,15,8.56e-4
1989,1105,2,20,7.27e-4
1989,1105,2,25,7.86e-4
1989,1105,2,30,0.001193
1989,1105,2,35,0.001642
1989,1105,2,40,0.002368
1989,1105,2,45,0.00418
1989,1105,2,50,0.006144
1989,1105,2,55,0.010619
1989,1105,2,60,0.015769
1989,1105,2,65,0.026017
1989,1105,2,70,0.042741
1989,1105,2,75,0.072628
1989,1105,2,80,0.112786
1989,1105,2,85,0.226798
1989,1105,3,0,0.016177
1989,1105,3,1,0.001073
1989,1105,3,5,6.07e-4
1989,1105,3,10,4.05e-4
1989,1105,3,15,0.00168
1989,1105,3,20,0.001985
1989,1105,3,25,0.002279
1989,1105,3,30,0.00288
1989,1105,3,35,0.003564
1989,1105,3,40,0.005224
1989,1105,3,45,0.008283
1989,1105,3,50,0.010607
1989,1105,3,55,0.016869
1989,1105,3,60,0.024052
1989,1105,3,65,0.033471
1989,1105,3,70,0.052232
1989,1105,3,75,0.083775
1989,1105,3,80,0.12471
1989,1105,3,85,0.223511
1989,1107,1,0,0.02541
1989,1107,1,1,0.001296
1989,1107,1,5,6.88e-4
1989,1107,1,10,6.42e-4
1989,1107,1,15,0.001618
1989,1107,1,20,0.003094
1989,1107,1,25,0.003619
1989,1107,1,30,0.004371
1989,1107,1,35,0.005687
1989,1107,1,40,0.007734
