year,reg_sk,sex_sk,age_sk,le
1989,1100,1,0,64.19
1989,1100,1,15,51.16
1989,1100,1,50,21.57
1989,1100,1,65,12.15
1989,1100,2,0,74.54
1989,1100,2,15,61.14
1989,1100,2,50,28.18
1989,1100,2,65,15.95
1989,1100,3,0,69.61
1989,1100,3,15,56.43
1989,1100,3,50,25.43
1989,1100,3,65,14.75
1989,1101,1,0,63.43
1989,1101,1,15,50.47
1989,1101,1,50,21.46
1989,1101,1,65,12.1
1989,1101,2,0,74.1
1989,1101,2,15,60.79
1989,1101,2,50,28.04
1989,1101,2,65,15.98
1989,1101,3,0,68.93
1989,1101,3,15,55.83
1989,1101,3,50,25.26
1989,1101,3,65,14.74
1989,1103,1,0,64.03
1989,1103,1,15,51.07
1989,1103,1,50,21.95
1989,1103,1,65,12.47
1989,1103,2,0,74.56
1989,1103,2,15,61.03
1989,1103,2,50,28.17
1989,1103,2,65,15.86
1989,1103,3,0,69.42
1989,1103,3,15,56.23
1989,1103,3,50,25.47
1989,1103,3,65,14.69
1989,1104,1,0,63.05
1989,1104,1,15,50.24
1989,1104,1,50,21.37
1989,1104,1,65,12.01
1989,1104,2,0,73.83
1989,1104,2,15,60.58
1989,1104,2,50,27.96
1989,1104,2,65,15.98
1989,1104,3,0,68.51
1989,1104,3,15,55.52
1989,1104,3,50,25.14
1989,1104,3,65,14.66
1989,1105,1,0,63.02
1989,1105,1,15,49.96
1989,1105,1,50,20.94
1989,1105,1,65,11.72
1989,1105,2,0,73.08
1989,1105,2,15,59.45
1989,1105,2,50,26.63
1989,1105,2,65,14.78
1989,1105,3,0,67.95
1989,1105,3,15,54.64
1989,1105,3,50,24.09
1989,1105,3,65,13.66
1989,1107,1,0,62.94
1989,1107,1,15,50.23
1989,1107,1,50,21.03
1989,1107,1,65,11.7
1989,1107,2,0,73.21
1989,1107,2,15,60.05
1989,1107,2,50,27.36
1989,1107,2,65,15.24
1989,1107,3,0,68.19
1989,1107,3,15,55.3
1989,1107,3,50,24.59
1989,1107,3,65,14.01
1989,1108,1,0,62.49
1989,1108,1,15,49.41
1989,1108,1,50,20.15
1989,1108,1,65,11.12
1989,1108,2,0,72.88
1989,1108,2,15,59.51
1989,1108,2,50,26.54
1989,1108,2,65,14.7
1989,1108,3,0,67.59
1989,1108,3,15,54.39
1989,1108,3,50,23.66
1989,1108,3,65,13.37
1989,1110,1,0,63.65
1989,1110,1,15,50.69
1989,1110,1,50,21.33
1989,1110,1,65,11.97
1989,1110,2,0,73.39
1989,1110,2,15,59.91
1989,1110,2,50,27.14
1989,1110,2,65,15.23
1989,1110,3,0,68.46
1989,1110,3,15,55.27
1989,1110,3,50,24.54
1989,1110,3,65,14
1989,1111,1,0,64.06
1989,1111,1,15,50.98
1989,1111,1,50,20.94
1989,1111,1,65,11.67
1989,1111,2,0,74.82
1989,1111,2,15,61.08
1989,1111,2,50,27.77
1989,1111,2,65,15.37
1989,1111,3,0,69.63
1989,1111,3,15,56.27
1989,1111,3,50,24.99
1989,1111,3,65,14.37
1989,1112,1,0,64.05
1989,1112,1,15,51.09
1989,1112,1,50,21.42
1989,1112,1,65,12.04
1989,1112,2,0,74.58
1989,1112,2,15,61.01
1989,1112,2,50,28.07
1989,1112,2,65,15.79
1989,1112,3,0,69.45
1989,1112,3,15,56.23
1989,1112,3,50,25.22
1989,1112,3,65,14.56
1989,1114,1,0,65.24
1989,1114,1,15,52.04
1989,1114,1,50,22.27
1989,1114,1,65,12.63
1989,1114,2,0,76.07
1989,1114,2,15,62.26
1989,1114,2,50,29.18
1989,1114,2,65,16.71
1989,1114,3,0,70.97
1989,1114,3,15,57.52
1989,1114,3,50,26.34
1989,1114,3,65,15.45
1989,1115,1,0,64.84
1989,1115,1,15,51.42
1989,1115,1,50,22.2
1989,1115,1,65,12.45
1989,1115,2,0,75.68
1989,1115,2,15,62.17
1989,1115,2,50,28.87
1989,1115,2,65,16.44
1989,1115,3,0,70.56
1989,1115,3,15,57.12
1989,1115,3,50,26.22
1989,1115,3,65,15.23
1989,1117,1,0,63.97
1989,1117,1,15,50.68
1989,1117,1,50,20.9
1989,1117,1,65,11.73
1989,1117,2,0,75.09
1989,1117,2,15,61.49
1989,1117,2,50,28.28
1989,1117,2,65,16.04
1989,1117,3,0,69.87
1989,1117,3,15,56.46
1989,1117,3,50,25.25
1989,1117,3,65,14.75
1989,1118,1,0,65.34
1989,1118,1,15,52.29
1989,1118,1,50,22.25
1989,1118,1,65,12.68
1989,1118,2,0,75.25
1989,1118,2,15,61.92
1989,1118,2,50,28.87
1989,1118,2,65,16.43
1989,1118,3,0,70.52
1989,1118,3,15,57.36
1989,1118,3,50,26.04
1989,1118,3,65,15.19
1989,1119,1,0,64.33
1989,1119,1,15,51.08
1989,1119,1,50,21.39
1989,1119,1,65,11.81
1989,1119,2,0,75.18
1989,1119,2,15,61.66
1989,1119,2,50,28.5
1989,1119,2,65,16.06
1989,1119,3,0,70.07
1989,1119,3,15,56.72
1989,1119,3,50,25.7
1989,1119,3,65,14.92
1989,1120,1,0,65.19
1989,1120,1,15,51.83
1989,1120,1,50,22.21
1989,1120,1,65,12.63
1989,1120,2,0,75.84
1989,1120,2,15,62.28
1989,1120,2,50,29.23
1989,1120,2,65,16.76
1989,1120,3,0,70.8
1989,1120,3,15,57.37
1989,1120,3,50,26.31
1989,1120,3,65,15.46
1989,1122,1,0,64.16
1989,1122,1,15,50.82
1989,1122,1,50,21.24
1989,1122,1,65,11.99
1989,1122,2,0,75.35
1989,1122,2,15,61.76
1989,1122,2,50,28.54
1989,1122,2,65,16.19
1989,1122,3,0,70.08
1989,1122,3,15,56.65
1989,1122,3,50,25.57
1989,1122,3,65,14.93
1989,1124,1,0,63.52
1989,1124,1,15,50.19
1989,1124,1,50,20.52
1989,1124,1,65,11.37
1989,1124,2,0,74.47
1989,1124,2,15,60.89
1989,1124,2,50,27.76
1989,1124,2,65,15.44
1989,1124,3,0,69.34
1989,1124,3,15,55.91
1989,1124,3,50,24.83
1989,1124,3,65,14.27
1989,1125,1,0,62.15
1989,1125,1,15,49.38
1989,1125,1,50,20.86
1989,1125,1,65,11.62
1989,1125,2,0,72.78
1989,1125,2,15,59.47
1989,1125,2,50,26.98
1989,1125,2,65,15.01
1989,1125,3,0,67.48
1989,1125,3,15,54.48
1989,1125,3,50,24.32
1989,1125,3,65,13.84
1989,1127,1,0,64.28
1989,1127,1,15,51.07
1989,1127,1,50,21.14
1989,1127,1,65,11.76
1989,1127,2,0,73.9
1989,1127,2,15,60.33
1989,1127,2,50,27.48
1989,1127,2,65,15.37
1989,1127,3,0,69.32
1989,1127,3,15,55.96
1989,1127,3,50,24.85
1989,1127,3,65,14.23
1989,1128,1,0,62.72
1989,1128,1,15,49.85
1989,1128,1,50,20.81
1989,1128,1,65,11.76
1989,1128,2,0,74.63
1989,1128,2,15,61.22
1989,1128,2,50,28.22
1989,1128,2,65,16.04
1989,1128,3,0,68.91
1989,1128,3,15,55.83
1989,1128,3,50,25.19
1989,1128,3,65,14.81
1989,1129,1,0,63.63
1989,1129,1,15,50.53
1989,1129,1,50,20.93
1989,1129,1,65,11.86
1989,1129,2,0,74.73
1989,1129,2,15,61.16
1989,1129,2,50,28.07
1989,1129,2,65,15.74
1989,1129,3,0,69.44
1989,1129,3,15,56.15
1989,1129,3,50,25.12
1989,1129,3,65,14.6
1989,1130,1,0,62.3
1989,1130,1,15,49
1989,1130,1,50,18.82
1989,1130,1,65,9.67
1989,1130,2,0,71.63
1989,1130,2,15,57.83
1989,1130,2,50,24.85
1989,1130,2,65,13.18
1989,1130,3,0,67
1989,1130,3,15,53.48
1989,1130,3,50,22.27
1989,1130,3,65,12.11
1989,1132,1,0,62.86
1989,1132,1,15,50.09
1989,1132,1,50,21.3
1989,1132,1,65,11.91
1989,1132,2,0,73.23
1989,1132,2,15,59.98
1989,1132,2,50,27.36
1989,1132,2,65,15.35
1989,1132,3,0,68.12
1989,1132,3,15,55.15
1989,1132,3,50,24.76
1989,1132,3,65,14.2
1989,1133,1,0,64.15
1989,1133,1,15,51.01
1989,1133,1,50,21.29
1989,1133,1,65,11.72
1989,1133,2,0,74.57
1989,1133,2,15,61.08
1989,1133,2,50,28.24
1989,1133,2,65,15.86
1989,1133,3,0,69.68
1989,1133,3,15,56.4
1989,1133,3,50,25.48
1989,1133,3,65,14.7
1989,1134,1,0,63.91
1989,1134,1,15,50.92
1989,1134,1,50,20.96
1989,1134,1,65,11.7
1989,1134,2,0,74.25
1989,1134,2,15,60.78
1989,1134,2,50,27.93
1989,1134,2,65,15.69
1989,1134,3,0,69.38
1989,1134,3,15,56.2
1989,1134,3,50,25.1
1989,1134,3,65,14.56
1989,1136,1,0,64.71
1989,1136,1,15,51.65
1989,1136,1,50,21.64
1989,1136,1,65,12.07
1989,1136,2,0,74.9
1989,1136,2,15,61.4
1989,1136,2,50,28.28
1989,1136,2,65,15.95
1989,1136,3,0,70.09
1989,1136,3,15,56.84
1989,1136,3,50,25.5
1989,1136,3,65,14.68
1989,1137,1,0,63.87
1989,1137,1,15,50.87
1989,1137,1,50,21.61
1989,1137,1,65,12.06
1989,1137,2,0,74.71
1989,1137,2,15,61.52
1989,1137,2,50,28.72
1989,1137,2,65,16.37
1989,1137,3,0,69.55
1989,1137,3,15,56.49
1989,1137,3,50,25.78
1989,1137,3,65,15.03
1989,1138,1,0,63.61
1989,1138,1,15,50.47
1989,1138,1,50,21.12
1989,1138,1,65,11.89
1989,1138,2,0,75.01
1989,1138,2,15,61.57
1989,1138,2,50,28.6
1989,1138,2,65,16.21
1989,1138,3,0,69.5
1989,1138,3,15,56.25
1989,1138,3,50,25.44
1989,1138,3,65,14.85
1989,1140,1,0,65.57
1989,1140,1,15,52.28
1989,1140,1,50,21.71
1989,1140,1,65,12.29
1989,1140,2,0,74.29
1989,1140,2,15,60.82
1989,1140,2,50,27.79
1989,1140,2,65,15.53
1989,1140,3,0,70.36
1989,1140,3,15,57.01
1989,1140,3,50,25.34
1989,1140,3,65,14.56
1989,1141,1,0,63.38
1989,1141,1,15,50
1989,1141,1,50,20.6
1989,1141,1,65,11.49
1989,1141,2,0,74.31
1989,1141,2,15,60.59
1989,1141,2,50,27.66
1989,1141,2,65,15.47
1989,1141,3,0,69.07
1989,1141,3,15,55.56
1989,1141,3,50,24.71
1989,1141,3,65,14.26
1989,1142,1,0,64.41
1989,1142,1,15,50.99
1989,1142,1,50,21.27
1989,1142,1,65,12.06
1989,1142,2,0,75.48
1989,1142,2,15,61.84
1989,1142,2,50,28.84
1989,1142,2,65,16.41
1989,1142,3,0,70.23
1989,1142,3,15,56.72
1989,1142,3,50,25.7
1989,1142,3,65,15.11
1989,1144,1,0,62.85
1989,1144,1,15,49.48
1989,1144,1,50,18.18
1989,1144,1,65,9.07
1989,1144,2,0,72.17
1989,1144,2,15,58.42
1989,1144,2,50,25.02
1989,1144,2,65,13.32
1989,1144,3,0,67.46
1989,1144,3,15,53.93
1989,1144,3,50,21.81
1989,1144,3,65,11.76
1989,1145,1,0,65.02
1989,1145,1,15,52.12
1989,1145,1,50,21.83
1989,1145,1,65,12.35
1989,1145,2,0,74.17
1989,1145,2,15,60.81
1989,1145,2,50,27.76
1989,1145,2,65,15.51
1989,1145,3,0,69.95
1989,1145,3,15,56.85
1989,1145,3,50,25.31
1989,1145,3,65,14.49
1989,1146,1,0,64.38
1989,1146,1,15,50.94
1989,1146,1,50,21.23
1989,1146,1,65,11.89
1989,1146,2,0,74.68
1989,1146,2,15,60.95
1989,1146,2,50,27.8
1989,1146,2,65,15.54
1989,1146,3,0,69.82
1989,1146,3,15,56.27
1989,1146,3,50,25.07
1989,1146,3,65,14.39
1989,1147,1,0,65.4
1989,1147,1,15,51.82
1989,1147,1,50,20.77
1989,1147,1,65,11.83
1989,1147,2,0,74.69
1989,1147,2,15,60.8
1989,1147,2,50,27.29
1989,1147,2,65,14.94
1989,1147,3,0,70.41
1989,1147,3,15,56.71
1989,1147,3,50,24.69
1989,1147,3,65,14.15
1989,1149,1,0,61.89
1989,1149,1,15,48.95
1989,1149,1,50,20.62
1989,1149,1,65,11.76
1989,1149,2,0,74.16
1989,1149,2,15,60.97
1989,1149,2,50,28.05
1989,1149,2,65,15.83
1989,1149,3,0,68.18
1989,1149,3,15,55.16
1989,1149,3,50,25.01
1989,1149,3,65,14.69
1989,1150,1,0,63.79
1989,1150,1,15,50.91
1989,1150,1,50,21.6
1989,1150,1,65,12.06
1989,1150,2,0,74.2
1989,1150,2,15,60.85
1989,1150,2,50,27.93
1989,1150,2,65,15.94
1989,1150,3,0,69.23
1989,1150,3,15,56.16
1989,1150,3,50,25.31
1989,1150,3,65,14.69
1989,1152,1,0,64.41
1989,1152,1,15,51.37
1989,1152,1,50,21.55
1989,1152,1,65,12.07
1989,1152,2,0,74.19
1989,1152,2,15,60.91
1989,1152,2,50,28.09
1989,1152,2,65,15.98
1989,1152,3,0,69.59
1989,1152,3,15,56.46
1989,1152,3,50,25.37
1989,1152,3,65,14.72
1989,1153,1,0,65.07
1989,1153,1,15,52.09
1989,1153,1,50,22.25
1989,1153,1,65,12.61
1989,1153,2,0,75.29
1989,1153,2,15,62
1989,1153,2,50,28.87
1989,1153,2,65,16.56
1989,1153,3,0,70.45
1989,1153,3,15,57.36
1989,1153,3,50,26.13
1989,1153,3,65,15.3
1989,1154,1,0,64.47
1989,1154,1,15,51.05
1989,1154,1,50,21.64
1989,1154,1,65,12.31
1989,1154,2,0,75.01
1989,1154,2,15,61.7
1989,1154,2,50,28.74
1989,1154,2,65,16.49
1989,1154,3,0,70.04
1989,1154,3,15,56.69
1989,1154,3,50,25.84
1989,1154,3,65,15.23
1989,1156,1,0,65.06
1989,1156,1,15,51.8
1989,1156,1,50,22.01
1989,1156,1,65,12.66
1989,1156,2,0,76.17
1989,1156,2,15,62.71
1989,1156,2,50,29.48
1989,1156,2,65,16.96
1989,1156,3,0,70.94
1989,1156,3,15,57.61
1989,1156,3,50,26.42
1989,1156,3,65,15.66
1989,1157,1,0,63.6
1989,1157,1,15,50.55
1989,1157,1,50,21.12
1989,1157,1,65,11.72
1989,1157,2,0,73.47
1989,1157,2,15,60
1989,1157,2,50,27.27
1989,1157,2,65,15.2
1989,1157,3,0,68.78
1989,1157,3,15,55.56
1989,1157,3,50,24.79
1989,1157,3,65,14.16
1989,1158,1,0,63.08
1989,1158,1,15,49.75
1989,1158,1,50,20.48
1989,1158,1,65,11.52
1989,1158,2,0,74.32
1989,1158,2,15,60.65
1989,1158,2,50,27.88
1989,1158,2,65,15.82
1989,1158,3,0,68.85
1989,1158,3,15,55.39
1989,1158,3,50,24.76
1989,1158,3,65,14.49
1989,1160,1,0,64.75
1989,1160,1,15,51.76
1989,1160,1,50,21.97
1989,1160,1,65,12.47
1989,1160,2,0,74.59
1989,1160,2,15,61.24
1989,1160,2,50,28.16
1989,1160,2,65,15.87
1989,1160,3,0,69.85
1989,1160,3,15,56.72
1989,1160,3,50,25.49
1989,1160,3,65,14.72
1989,1161,1,0,63.5
1989,1161,1,15,50.24
1989,1161,1,50,21.3
1989,1161,1,65,12.13
1989,1161,2,0,75.45
1989,1161,2,15,61.96
1989,1161,2,50,29.06
1989,1161,2,65,16.73
1989,1161,3,0,69.67
1989,1161,3,15,56.33
1989,1161,3,50,25.81
1989,1161,3,65,15.32
1989,1163,1,0,64.51
1989,1163,1,15,51.58
1989,1163,1,50,21.66
1989,1163,1,65,12.2
1989,1163,2,0,75.1
1989,1163,2,15,61.66
1989,1163,2,50,28.59
1989,1163,2,65,16.25
1989,1163,3,0,70.04
1989,1163,3,15,56.9
1989,1163,3,50,25.67
1989,1163,3,65,14.95
1989,1164,1,0,62.58
1989,1164,1,15,49.45
1989,1164,1,50,19.38
1989,1164,1,65,10.62
1989,1164,2,0,72.64
1989,1164,2,15,58.94
1989,1164,2,50,25.65
1989,1164,2,65,14.24
1989,1164,3,0,67.6
1989,1164,3,15,54.22
1989,1164,3,50,22.88
1989,1164,3,65,13.02
1989,1165,1,0,64.13
1989,1165,1,15,51.06
1989,1165,1,50,21.24
1989,1165,1,65,11.83
1989,1165,2,0,74.14
1989,1165,2,15,60.63
1989,1165,2,50,27.61
1989,1165,2,65,15.42
1989,1165,3,0,69.39
1989,1165,3,15,56.14
1989,1165,3,50,24.97
1989,1165,3,65,14.29
1989,1166,1,0,63.86
1989,1166,1,15,50.61
1989,1166,1,50,21.26
1989,1166,1,65,12.06
1989,1166,2,0,75.03
1989,1166,2,15,61.43
1989,1166,2,50,28.45
1989,1166,2,65,16.22
1989,1166,3,0,69.69
1989,1166,3,15,56.31
1989,1166,3,50,25.5
1989,1166,3,65,15.01
1989,1168,1,0,62.88
1989,1168,1,15,49.67
1989,1168,1,50,21.14
1989,1168,1,65,12.26
1989,1168,2,0,74.99
1989,1168,2,15,61.51
1989,1168,2,50,28.68
