year,reg_sk,sex_sk,esp_year,age_sk,sdr
1989,1100,1,1976,0,2.24
1989,1100,1,1976,15,4.97
1989,1100,1,1976,50,22.52
1989,1100,1,1976,65,86.28
1989,1100,1,1976,999,16.47
1989,1100,1,2013,0,2.01
1989,1100,1,2013,15,5.19
1989,1100,1,2013,50,23.04
1989,1100,1,2013,65,97.54
1989,1100,1,2013,999,26.17
1989,1100,2,1976,0,1.56
1989,1100,2,1976,15,1.5
1989,1100,2,1976,50,8.51
1989,1100,2,1976,65,55.86
1989,1100,2,1976,999,8.76
1989,1100,2,2013,0,1.39
1989,1100,2,2013,15,1.57
1989,1100,2,2013,50,8.74
1989,1100,2,2013,65,65.93
1989,1100,2,2013,999,15.49
1989,1100,3,1976,0,1.91
1989,1100,3,1976,15,3.21
1989,1100,3,1976,50,14.53
1989,1100,3,1976,65,63.72
1989,1100,3,1976,999,11.62
1989,1100,3,2013,0,1.71
1989,1100,3,2013,15,3.35
1989,1100,3,2013,50,14.86
1989,1100,3,2013,65,73.8
1989,1100,3,2013,999,19.07
1989,1101,1,1976,0,2.34
1989,1101,1,1976,15,5.55
1989,1101,1,1976,50,22.84
1989,1101,1,1976,65,86.82
1989,1101,1,1976,999,16.9
1989,1101,1,2013,0,2.12
1989,1101,1,2013,15,5.79
1989,1101,1,2013,50,23.36
1989,1101,1,2013,65,98.18
1989,1101,1,2013,999,26.64
1989,1101,2,1976,0,1.66
1989,1101,2,1976,15,1.67
1989,1101,2,1976,50,9.03
1989,1101,2,1976,65,55.72
1989,1101,2,1976,999,8.94
1989,1101,2,2013,0,1.48
1989,1101,2,2013,15,1.75
1989,1101,2,2013,50,9.27
1989,1101,2,2013,65,65.8
1989,1101,2,2013,999,15.66
1989,1101,3,1976,0,2.01
1989,1101,3,1976,15,3.59
1989,1101,3,1976,50,15.09
1989,1101,3,1976,65,63.82
1989,1101,3,1976,999,11.94
1989,1101,3,2013,0,1.81
1989,1101,3,2013,15,3.74
1989,1101,3,2013,50,15.41
1989,1101,3,2013,65,73.92
1989,1101,3,2013,999,19.39
1989,1103,1,1976,0,2.33
1989,1103,1,1976,15,5.3
1989,1103,1,1976,50,21.75
1989,1103,1,1976,65,83.17
1989,1103,1,1976,999,16.17
1989,1103,1,2013,0,2.1
1989,1103,1,2013,15,5.51
1989,1103,1,2013,50,22.24
1989,1103,1,2013,65,94.39
1989,1103,1,2013,999,25.55
1989,1103,2,1976,0,1.44
1989,1103,2,1976,15,1.55
1989,1103,2,1976,50,8.26
1989,1103,2,1976,65,56.77
1989,1103,2,1976,999,8.81
1989,1103,2,2013,0,1.29
1989,1103,2,2013,15,1.62
1989,1103,2,2013,50,8.49
1989,1103,2,2013,65,67.15
1989,1103,2,2013,999,15.68
1989,1103,3,1976,0,1.9
1989,1103,3,1976,15,3.37
1989,1103,3,1976,50,14.16
1989,1103,3,1976,65,64.5
1989,1103,3,1976,999,11.71
1989,1103,3,2013,0,1.7
1989,1103,3,2013,15,3.5
1989,1103,3,2013,50,14.48
1989,1103,3,2013,65,74.9
1989,1103,3,2013,999,19.27
1989,1104,1,1976,0,2.53
1989,1104,1,1976,15,5.71
1989,1104,1,1976,50,22.98
1989,1104,1,1976,65,88.73
1989,1104,1,1976,999,17.25
1989,1104,1,2013,0,2.28
1989,1104,1,2013,15,5.95
1989,1104,1,2013,50,23.51
1989,1104,1,2013,65,100.76
1989,1104,1,2013,999,27.28
1989,1104,2,1976,0,1.72
1989,1104,2,1976,15,1.8
1989,1104,2,1976,50,9.28
1989,1104,2,1976,65,55.05
1989,1104,2,1976,999,8.99
1989,1104,2,2013,0,1.53
1989,1104,2,2013,15,1.89
1989,1104,2,2013,50,9.54
1989,1104,2,2013,65,64.28
1989,1104,2,2013,999,15.49
1989,1104,3,1976,0,2.14
1989,1104,3,1976,15,3.78
1989,1104,3,1976,50,15.34
1989,1104,3,1976,65,63.77
1989,1104,3,1976,999,12.1
1989,1104,3,2013,0,1.91
1989,1104,3,2013,15,3.95
1989,1104,3,2013,50,15.68
1989,1104,3,2013,65,73.27
1989,1104,3,2013,999,19.43
1989,1105,1,1976,0,2.24
1989,1105,1,1976,15,5.62
1989,1105,1,1976,50,24.17
1989,1105,1,1976,65,89.94
1989,1105,1,1976,999,17.49
1989,1105,1,2013,0,2.03
1989,1105,1,2013,15,5.84
1989,1105,1,2013,50,24.78
1989,1105,1,2013,65,101.02
1989,1105,1,2013,999,27.48
1989,1105,2,1976,0,1.37
1989,1105,2,1976,15,1.68
1989,1105,2,1976,50,10.31
1989,1105,2,1976,65,65.19
1989,1105,2,1976,999,10.15
1989,1105,2,2013,0,1.21
1989,1105,2,2013,15,1.75
1989,1105,2,2013,50,10.6
1989,1105,2,2013,65,76.73
1989,1105,2,2013,999,18.01
1989,1105,3,1976,0,1.81
1989,1105,3,1976,15,3.7
1989,1105,3,1976,50,16.43
1989,1105,3,1976,65,73.3
1989,1105,3,1976,999,13.23
1989,1105,3,2013,0,1.63
1989,1105,3,2013,15,3.85
1989,1105,3,2013,50,16.83
1989,1105,3,2013,65,84.66
1989,1105,3,2013,999,21.78
1989,1107,1,1976,0,2.65
1989,1107,1,1976,15,5.44
1989,1107,1,1976,50,23.55
1989,1107,1,1976,65,95.09
1989,1107,1,1976,999,17.95
1989,1107,1,2013,0,2.37
1989,1107,1,2013,15,5.67
1989,1107,1,2013,50,24.06
1989,1107,1,2013,65,108.99
1989,1107,1,2013,999,28.88
1989,1107,2,1976,0,1.83
1989,1107,2,1976,15,1.7
1989,1107,2,1976,50,9.12
1989,1107,2,1976,65,62.25
1989,1107,2,1976,999,9.73
1989,1107,2,2013,0,1.63
1989,1107,2,2013,15,1.76
1989,1107,2,2013,50,9.35
1989,1107,2,2013,65,74.01
1989,1107,2,2013,999,17.31
1989,1107,3,1976,0,2.25
1989,1107,3,1976,15,3.51
1989,1107,3,1976,50,15.48
1989,1107,3,1976,65,71.45
1989,1107,3,1976,999,12.86
1989,1107,3,2013,0,2.01
1989,1107,3,2013,15,3.65
1989,1107,3,2013,50,15.81
1989,1107,3,2013,65,83.48
1989,1107,3,2013,999,21.32
1989,1108,1,1976,0,2.25
1989,1108,1,1976,15,5.46
1989,1108,1,1976,50,26.07
1989,1108,1,1976,65,102.42
1989,1108,1,1976,999,19.13
1989,1108,1,2013,0,2.03
1989,1108,1,2013,15,5.67
